N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION
          1,   ,100,E,E.E.PU,HENRI MATISSE (RPI 22)        ,4 ROUTE NATIONALE               ,AUBENCHEUL AU BAC         ,0119,P0001,CAMBRAI-CENTRE                
          2,   1.00,100,E,E.E.PU,NIVEAU 2 (RPI 3)              ,81 GRAND RUE                    ,BANTOUZELLE               ,0119,P0001,CAMBRAI-SUD                   
          3,   1.00,100,E,E.E.PU,NIVEAU 2 (RPI 17)             ,RUE DE L ECOLE                  ,BLECOURT                  ,0119,P0001,CAMBRAI-CENTRE                
          4,   ,100,E,E.E.PU,(RPI 14)                      ,11 RUE DE LA MAIRIE             ,BOULOGNE SUR HELPE        ,0119,P0001,AVESNES-FOURMIES              
          5,   1.00,100,E,E.E.PU,NIVEAU 2 (RPI 2)              ,16 TER ROUTE NATIONALE          ,BOURSIES                  ,0119,P0001,CAMBRAI-SUD                   
          6,   1.00,100,E,E.E.PU,J.DE COURTRAI NIV.2 (RPI 11)  ,1 RUE DE LA PLACE               ,DIMECHAUX                 ,0119,P0001,AVESNES-JEUMONT               
          7,   ,100,E,E.P.PU,                              ,HEER STRAETE                    ,DRINCHAM                  ,0119,P0001,DUNKERQUE-WORMHOUT            
          8,   ,100,E,E.P.PU,AUGUSTE HANON                 ,5 RUE DE LA FONTAINE            ,EPPE SAUVAGE              ,0119,P0001,AVESNES-JEUMONT               
          9,   ,100,E,E.E.PU,NIVEAU 2 (RPI 19)             ,14 LA PLACE                     ,OXELAERE                  ,0119,P0001,DUNKERQUE-WORMHOUT            
         10,   ,100,E,E.E.PU,NIVEAU 2 (RPI 1)              ,RUE DES ECOLES                  ,GONNELIEU                 ,0119,P0001,CAMBRAI-SUD                   
         11,   ,100,E,E.E.PU,(RPI 19)                      ,7 LA PLACE                      ,HARDIFORT                 ,0119,P0001,DUNKERQUE-WORMHOUT            
         12,   ,100,E,E.E.PU,(RPI 17)                      ,17 RUE DE BOURLON               ,HAYNECOURT                ,0119,P0001,CAMBRAI-CENTRE                
         13,   ,100,E,E.E.PU,(RPI 13)                      ,59 GRAND RUE                    ,NIERGNIES                 ,0119,P0001,CAMBRAI-CENTRE                
         14,   ,100,E,E.E.PU,NIVEAU 1 (RPI 16)             ,2 BIS RUE DE L ECOLE            ,NOYELLES SUR SAMBRE       ,0119,P0001,AVESNES AULNOYE               
         15,   ,100,E,E.P.PU,                              ,55 LA PLACE                     ,OBRECHIES                 ,0119,P0001,AVESNES-JEUMONT               
         16,   ,100,E,E.E.PU,(RPI 7)                       ,80 RUE DE LA MAIRIE             ,OCHTEZEELE                ,0119,P0001,DUNKERQUE-WORMHOUT            
         17,   ,100,E,E.E.PU,(RPI 9)                       ,18 GRAND RUE                    ,SALESCHES                 ,0119,P0001,AVESNES-LE QUESNOY            
         18,   ,100,E,E.E.PU,MIXTE (RPI 17)                ,20 RUE D'AMERIQUE               ,SANCOURT                  ,0119,P0001,CAMBRAI-CENTRE                
         19,   ,100,E,E.P.PU,CENTRE                        ,28 RUE DE LA MAIRIE             ,SEMERIES                  ,0119,P0001,AVESNES-FOURMIES              
         20,   ,100,E,E.E.PU,NIVEAU 2 (RPI 13)             ,67 GRAND RUE                    ,SERANVILLERS FORENVILLE   ,0119,P0001,CAMBRAI-CENTRE                
         21,   ,100,E,E.E.PU,(RPI 9)                       ,6 RUE DE L'EGLISE               ,VENDEGIES AU BOIS         ,0119,P0001,AVESNES-LE QUESNOY            
         22,   ,100,E,E.E.PU,NIVEAU 2 (RPI 11)             ,RUE DES ECOLES                  ,WATTIGNIES LA VICTOIRE    ,0119,P0001,AVESNES-JEUMONT               
         23,   1.00,100,E,E.P.PU,HENRI MATISSE                 ,18 RUE DE WASNES                ,WAVRECHAIN SOUS FAULX     ,0119,P0001,VALENCIENNES-ESCAUDAIN        
         24,   ,100,E,E.E.PU,PIERRE DUEZ (RPI 14)          ,2 ROUTE DE BOULOGNE             ,HAUT LIEU                 ,0119,P0001,AVESNES-FOURMIES              
         25,   ,100,E,E.P.PU,CHAUFFOUR                     ,RUE DES ECOLES                  ,FLAUMONT WAUDRECHIES      ,0119,P0002,AVESNES-FOURMIES              
         26,   ,100,E,E.P.PU,ALBERT FAVRESSE               ,186 RUE SAINTE CATHERINE        ,LEFFRINCKOUCKE            ,0119,P0002,DUNKERQUE-CENTRE              
         27,   ,100,E,E.P.PU,                              ,2 LA PLACE                      ,AIBES                     ,0119,P0002,AVESNES-JEUMONT               
         28,   ,100,E,E.P.PU,LES PETITS CAILLOUX           ,HAMEAU LE STEENT'JE             ,BAILLEUL                  ,0119,P0002,DUNKERQUE-BAILLEUL            
         29,   ,100,E,E.P.PU,NIVEAU 1 (RPI 3)              ,RUE DU MILIEU                   ,BANTEUX                   ,0119,P0002,CAMBRAI-SUD                   
         30,   ,100,E,E.E.PU,NIVEAU 2                      ,3 RUELLE MAILLY                 ,BEAUFORT                  ,0119,P0002,AVESNES AULNOYE               
