REGROUPEMENT,REGROUPEMENTS,SUPPORT,DISCIPLINE,N°POSTE,CIRCONSCRIPTIONS CORRESPONDANTES
0590001 ,REGROUPEMENT 1,2584,G0000,       6021,DUNKERQUE-CENTRE / DUNKERQUE-BERGUES / DUNKERQUE-SAINT POL / DUNKERQUE-GRAVELINES
0590001 ,REGROUPEMENT 1,2585,G0000,       6022,
0590001 ,REGROUPEMENT 1,9010,G0000,       6023,
0590001 ,REGROUPEMENT 1,DCOM,G0000,       6024,
0590001 ,REGROUPEMENT 1,EAPL,G0191,       6025,
0590001 ,REGROUPEMENT 1,EAPM,G0191,       6026,
0590001 ,REGROUPEMENT 1,ECEL,G0000,       6027,
0590001 ,REGROUPEMENT 1,ECEL,G0431,       6028,
0590001 ,REGROUPEMENT 1,ECMA,G0000,       6029,
0590001 ,REGROUPEMENT 1,ISES,G0137,       6030,
0590001 ,REGROUPEMENT 1,ISES,G0170,       6031,
0590001 ,REGROUPEMENT 1,RASE,G0172,       6032,
0590001 ,REGROUPEMENT 1,RASE,G0173,       6033,
0590001 ,REGROUPEMENT 1,UEE ,G0000,       6034,
0590001 ,REGROUPEMENT 1,UEE ,G0176,       6035,
0590001 ,REGROUPEMENT 1,UEE ,G0177,       6036,
0590001 ,REGROUPEMENT 1,UEE ,G0180,       6037,
0590001 ,REGROUPEMENT 1,UEM ,G0178,       6038,
0590001 ,REGROUPEMENT 1,ULCG,G0174,       6039,
0590001 ,REGROUPEMENT 1,ULCG,G0176,       6040,
0590001 ,REGROUPEMENT 1,ULCG,G0177,       6041,
0590001 ,REGROUPEMENT 1,ULCG,G0179,       6042,
0590001 ,REGROUPEMENT 1,ULEC,G0176,       6043,
0590001 ,REGROUPEMENT 1,ULEC,G0178,       6044,
0590001 ,REGROUPEMENT 1,ULEC,G0179,       6045,
-0590002 ,REGROUPEMENT 2,2584,G0000,       6046,DUNKERQUE-HAZEBROUCK / DUNKERQUE-WORMHOUT
0590002 ,REGROUPEMENT 2,9010,G0000,       6047,
0590002 ,REGROUPEMENT 2,EAPL,G0191,       6048,
0590002 ,REGROUPEMENT 2,ECEL,G0000,       6049,
0590002 ,REGROUPEMENT 2,ECMA,G0000,       6050,
0590002 ,REGROUPEMENT 2,ISES,G0170,       6051,
0590002 ,REGROUPEMENT 2,RASE,G0172,       6052,
0590002 ,REGROUPEMENT 2,RASE,G0173,       6053,
0590002 ,REGROUPEMENT 2,UEE ,G0176,       6054,
0590002 ,REGROUPEMENT 2,ULCG,G0176,       6055,
0590002 ,REGROUPEMENT 2,ULEC,G0176,       6056,
0590003 ,REGROUPEMENT 3,2557,G0000,       6057,LILLE2-ARMENTIERES / DUNKERQUE-BAILLEUL
