REGROUPEMENT 1,REGROUPEMENT 2,REGROUPEMENT 3,REGROUPEMENT 4,REGROUPEMENT 5,REGROUPEMENT 6,REGROUPEMENT 7,REGROUPEMENT 8,REGROUPEMENT 9,REGROUPEMENT 10,REGROUPEMENT 11,REGROUPEMENT 12,REGROUPEMENT 13,REGROUPEMENT 14,REGROUPEMENT 15
"Circonscriptions de :
Dunkerque Centre 
Dunkerque Bergues
Dunkerque Saint Pol
Dunkerque Gravelines","Circonscriptions de :
Dunkerque Hazebrouck
Dunkerque Wormhout","Circonscriptions de :
Lille 2 Armentières
Dunkerque Bailleul","Circonscriptions de :
Lille 2 Lomme
Lille 1 Nord
Lille 1 Centre
Lille 1 Sud
Lille 1 Hellemmes","Circonscriptions de :
Tourcoing Roncq
Tourcoing Ouest
Tourcoing Est
Lille 1 Lambersart","Circonscriptions de :
Roubaix Centre
Roubaix Wasquehal
Roubaix Est
Roubaix Ouest
Lille 1 Marcq","Circonscriptions de :
Roubaix Hem
Roubaic Wattrelos
Lille 3 Villeneuve d'Ascq Nord
Lille 3 Villeneuve d'Ascq Sud
Lille 3 Ronchin
","Circonscriptions de :
Lille 2 Loos
Lille 2 Annoeullin
Lille 3 Seclin
Lille 3 Wattignies","Circonscriptions de :
Douai Centre
Douai Cuincy
Douai Waziers","Circonscriptions de :
Douai Rieulay
Valenciennes Saint Amand
Valenciennes Condé
Valenciennes Anzin","Circonscriptions de :
Valenciennes Denain
Valenciennes Saint Saulve
Valenciennes Centre
Valenciennes Bruay","Circonscriptions de :
Douai Cantin
Valenciennes Escaudain ","Circonscriptions de :
Cambrai Centre
Cambrai Sud","Circonscriptions de :
Cambrai Le Cateau
Avesnes Aulnoye
Avesnes Fourmies","Circonscriptions de :
Avesnes Le Quesnoy
Avesnes Maubeuge 
Avesnes Jeumont "
ARMBOUTS-CAPPEL,ARNEKE,ARMENTIERES,CAPINGHEM,BOUSBECQUE,BONDUES,ANSTAING,ALLENNES-LES-MARAIS,ANHIERS,AIX,ARTRES,ABSCON,ABANCOURT,ANOR,AIBES
BAMBECQUE,BAVINCHOVE,BAILLEUL,COMINES,HALLUIN,CROIX,BACHY,ANNOEULLIN,AUBY,ANZIN,AULNOY-LEZ-VALENCIENNES,ANICHE,AUBENCHEUL-AU-BAC,AULNOYE-AYMERIES,ASSEVENT
BERGUES,BLARINGHEM,BERTHEN,LILLE ,LAMBERSART,LA MADELEINE,BAISIEUX,ATTICHES,COURCHELETTES,AUBRY-DU-HAINAUT,BRUAY-SUR-L'ESCAUT,ARLEUX,AWOINGT,AVESNELLES,BAVAY
BIERNE,BOESEGHEM,BOESCHEPE,LOMPRET,LINSELLES,MARCQ-EN-BAROEUL,BOURGHELLES,AUBERS,CUINCY,AUCHY-LEZ-ORCHIES,CRESPIN,AUBERCHICOURT,BANTEUX,AVESNES-LES-AUBERT,BEAUDIGNIES
BRAY-DUNES,BOLLEZEELE,BOIS-GRENIER,PERENCHIES,MARQUETTE-LEZ-LILLE,MOUVAUX,BOUVINES,AVELIN,DOUAI,BELLAING,CURGIES,AUBIGNY-AU-BAC,BANTIGNY,AVESNES-SUR-HELPE,BELLIGNIES
CAPPELLE-LA-GRANDE,BORRE,DEULEMONT,PREMESQUES,NEUVILLE-EN-FERRAIN,ROUBAIX,CAMPHIN-EN-PEVELE,BAUVIN,ESQUERCHIN,BEUVRAGES,DENAIN,AVESNES-LE-SEC,BANTOUZELLE,BACHANT,BERMERIES
COUDEKERQUE-BRANCHE,BOURBOURG,ERQUINGHEM-LYS,QUESNOY-SUR-DEULE,RONCQ,WASQUEHAL,CHERENG,BEAUCAMPS-LIGNY,FAUMONT,BEUVRY-LA-FORET,ESCAUTPONT,BOUCHAIN,BEAUMONT-EN-CAMBRESIS,BAZUEL,BEUGNIES
CRAYWICK,BROUCKERQUE,ESTAIRES,VERLINGHEM,SAINT-ANDRE-LEZ-LILLE,,COBRIEUX,BERSEE,FERIN,BOUSIGNIES,ESTREUX,BRUNEMONT,BEAUVOIS-EN-CAMBRESIS,BEAUFORT,BOUSIES
CROCHTE,BROXEELE,FLETRE,WERVICQ-SUD,TOURCOING,,CYSOING,CAMPHIN-EN-CAREMBAULT,FLERS-EN-ESCREBIEUX,BOUVIGNIES,FAMARS,BUGNICOURT,BERTRY,BEAUREPAIRE-SUR-SAMBRE,BOUSSOIS
